event,P,start,end,duration,duration_hr,MI5,MI15,MI30,MI60,starttime,endtime
1,6.604,1626696600,1626705480,8880,2.466666666666667,42.672,2.032,1.016,0.508,2021-07-19T12:10:00Z,2021-07-19T14:38:00Z
2,1.016,1626802200,1626805260,3060,0.85,3.048,1.016,1.016,1.016,2021-07-20T17:30:00Z,2021-07-20T18:21:00Z
3,7.112,1627038540,1627047180,8640,2.4,12.192,7.112,5.08,3.81,2021-07-23T11:09:00Z,2021-07-23T13:33:00Z
4,0.508,1627666440,1627671840,5400,1.5,3.048,1.016,0.508,0.254,2021-07-30T17:34:00Z,2021-07-30T19:04:00Z
5,1.016,1627708800,1627710840,2040,0.5666666666666667,3.048,2.032,1.524,1.016,2021-07-31T05:20:00Z,2021-07-31T05:54:00Z
6,4.318,1627737960,1627753500,15540,4.316666666666666,9.144,9.144,6.096,4.064,2021-07-31T13:26:00Z,2021-07-31T17:45:00Z
7,1.016,1627927800,1627929480,1680,0.4666666666666667,3.048,3.048,2.032,1.016,2021-08-02T18:10:00Z,2021-08-02T18:38:00Z
8,22.606,1627982700,1628028660,45960,12.766666666666667,27.432000000000002,23.368000000000002,17.78,11.938,2021-08-03T09:25:00Z,2021-08-03T22:11:00Z
9,6.096,1628273280,1628279640,6360,1.7666666666666666,45.72,16.256,8.636,4.318,2021-08-06T18:08:00Z,2021-08-06T19:54:00Z
10,0.254,1629224400,1629224400,0,0,0,1.016,0.508,0.254,2021-08-17T18:20:00Z,2021-08-17T18:20:00Z
11,5.588,1629295140,1629314580,19440,5.4,24.384,13.208,7.112,3.81,2021-08-18T13:59:00Z,2021-08-18T19:23:00Z
12,0.254,1629358740,1629358740,0,0,0,1.016,0.508,0.254,2021-08-19T07:39:00Z,2021-08-19T07:39:00Z
13,3.556,1629391920,1629421140,29220,8.116666666666667,27.432000000000002,9.144,4.572,2.286,2021-08-19T16:52:00Z,2021-08-20T00:59:00Z
14,0.508,1630012020,1630012380,360,0.1,3.048,2.032,1.016,0.508,2021-08-26T21:07:00Z,2021-08-26T21:13:00Z
15,3.556,1630517460,1630547700,30240,8.4,3.048,3.048,2.032,1.778,2021-09-01T17:31:00Z,2021-09-02T01:55:00Z
16,2.286,1630603080,1630607160,4080,1.1333333333333333,6.096,4.064,2.54,2.032,2021-09-02T17:18:00Z,2021-09-02T18:26:00Z
17,4.318,1630666620,1630680660,14040,3.9,9.144,8.128,4.572,2.286,2021-09-03T10:57:00Z,2021-09-03T14:51:00Z
18,5.8420000000000005,1631430360,1631456640,26280,7.3,24.384,15.24,8.128,4.064,2021-09-12T07:06:00Z,2021-09-12T14:24:00Z
19,5.8420000000000005,1631566800,1631586360,19560,5.433333333333334,33.528,11.176,10.16,5.334,2021-09-13T21:00:00Z,2021-09-14T02:26:00Z
20,3.302,1632093960,1632099960,6000,1.6666666666666667,9.144,4.064,4.064,3.048,2021-09-19T23:26:00Z,2021-09-20T01:06:00Z
21,0.254,1632176340,1632176340,0,0,0,1.016,0.508,0.254,2021-09-20T22:19:00Z,2021-09-20T22:19:00Z
22,8.128,1632899100,1632982560,83460,23.183333333333334,24.384,12.192,6.096,3.048,2021-09-29T07:05:00Z,2021-09-30T06:16:00Z
