event,P,start,end,duration,duration_hr,MI5,MI15,MI30,MI60,starttime,endtime
1,6.604,1626696600,1626705480,8880,2.466666667,42.672,2.032,1.016,0.508,2021-07-19T12:10:00Z,2021-07-19T14:38:00Z
2,1.016,1626802200,1626805260,3060,0.85,3.048,1.016,1.016,1.016,2021-07-20T17:30:00Z,2021-07-20T18:21:00Z
3,7.112,1627038540,1627047180,8640,2.4,12.192,7.112,5.08,3.81,2021-07-23T11:09:00Z,2021-07-23T13:33:00Z
4,0.508,1627666440,1627671840,5400,1.5,3.048,1.016,0.508,0.254,2021-07-30T17:34:00Z,2021-07-30T19:04:00Z
5,1.016,1627708800,1627710840,2040,0.566666667,3.048,2.032,1.524,1.016,2021-07-31T05:20:00Z,2021-07-31T05:54:00Z
6,4.318,1627737960,1627753500,15540,4.316666667,9.144,9.144,6.096,4.064,2021-07-31T13:26:00Z,2021-07-31T17:45:00Z
7,1.016,1627927800,1627929480,1680,0.466666667,3.048,3.048,2.032,1.016,2021-08-02T18:10:00Z,2021-08-02T18:38:00Z
8,22.606,1627982700,1628028660,45960,12.76666667,27.432,23.368,17.78,11.938,2021-08-03T09:25:00Z,2021-08-03T22:11:00Z
9,6.096,1628273280,1628279640,6360,1.766666667,45.72,16.256,8.636,4.318,2021-08-06T18:08:00Z,2021-08-06T19:54:00Z
10,0.254,1629224400,1629224400,0,0,0,1.016,0.508,0.254,2021-08-17T18:20:00Z,2021-08-17T18:20:00Z
11,5.588,1629295140,1629314580,19440,5.4,24.384,13.208,7.112,3.81,2021-08-18T13:59:00Z,2021-08-18T19:23:00Z
12,0.254,1629358740,1629358740,0,0,0,1.016,0.508,0.254,2021-08-19T07:39:00Z,2021-08-19T07:39:00Z
13,3.556,1629391920,1629421140,29220,8.116666667,27.432,9.144,4.572,2.286,2021-08-19T16:52:00Z,2021-08-20T00:59:00Z
14,0.508,1630012020,1630012380,360,0.1,3.048,2.032,1.016,0.508,2021-08-26T21:07:00Z,2021-08-26T21:13:00Z
15,3.556,1630517460,1630547700,30240,8.4,3.048,3.048,2.032,1.778,2021-09-01T17:31:00Z,2021-09-02T01:55:00Z
16,2.286,1630603080,1630607160,4080,1.133333333,6.096,4.064,2.54,2.032,2021-09-02T17:18:00Z,2021-09-02T18:26:00Z
17,4.318,1630666620,1630680660,14040,3.9,9.144,8.128,4.572,2.286,2021-09-03T10:57:00Z,2021-09-03T14:51:00Z
18,1.27,1630935360,1630936020,660,0.183333333,12.192,5.08,2.54,1.27,2021-09-06T13:36:00Z,2021-09-06T13:47:00Z
19,4.318,1631432280,1631454960,22680,6.3,21.336,11.176,0.508,0.508,2021-09-12T07:38:00Z,2021-09-12T13:56:00Z
20,1.016,1631571600,1631576160,4560,1.266666667,6.096,3.048,1.524,0.762,2021-09-13T22:20:00Z,2021-09-13T23:36:00Z
21,2.286,1632094500,1632100320,5820,1.616666667,6.096,4.064,2.032,2.032,2021-09-19T23:35:00Z,2021-09-20T01:12:00Z
22,2.794,1632400680,1632404220,3540,0.983333333,6.096,4.064,2.032,2.794,2021-09-23T12:38:00Z,2021-09-23T13:37:00Z
23,2.032,1632921300,1632931080,9780,2.716666667,6.096,3.048,2.032,0.508,2021-09-29T13:15:00Z,2021-09-29T15:58:00Z
24,0.254,1632973260,1632973260,0,0,0,1.016,0.508,0.254,2021-09-30T03:41:00Z,2021-09-30T03:41:00Z
25,0.254,1633038000,1633038000,0,0,0,1.016,0.508,0.254,2021-09-30T21:40:00Z,2021-09-30T21:40:00Z
26,1.524,1633708620,1633715400,6780,1.883333333,3.048,2.032,1.016,1.016,2021-10-08T15:57:00Z,2021-10-08T17:50:00Z
27,0.254,1633762620,1633762620,0,0,0,1.016,0.508,0.254,2021-10-09T06:57:00Z,2021-10-09T06:57:00Z
28,0.254,1634052840,1634052840,0,0,0,1.016,0.508,0.254,2021-10-12T15:34:00Z,2021-10-12T15:34:00Z
29,9.398,1653396420,1653409440,13020,3.616666667,9.144,8.128,7.62,6.35,2022-05-24T12:47:00Z,2022-05-24T16:24:00Z
30,9.144,1653457200,1653468120,10920,3.033333333,12.192,10.16,9.144,8.382,2022-05-25T05:40:00Z,2022-05-25T08:42:00Z
31,1.016,1653831540,1653846480,14940,4.15,3.048,2.032,1.016,0.762,2022-05-29T13:39:00Z,2022-05-29T17:48:00Z
32,3.302,1654001940,1654014720,12780,3.55,3.048,2.032,2.032,1.27,2022-05-31T12:59:00Z,2022-05-31T16:32:00Z
33,16.002,1654075920,1654079400,3480,0.966666667,27.432,25.4,22.352,16.002,2022-06-01T09:32:00Z,2022-06-01T10:30:00Z
34,0.508,1654457280,1654462560,5280,1.466666667,3.048,1.016,0.508,0.254,2022-06-05T19:28:00Z,2022-06-05T20:56:00Z
35,4.064,1654527660,1654529340,1680,0.466666667,15.24,10.16,8.128,4.064,2022-06-06T15:01:00Z,2022-06-06T15:29:00Z
36,1.524,1654564200,1654564860,660,0.183333333,15.24,6.096,3.048,1.524,2022-06-07T01:10:00Z,2022-06-07T01:21:00Z
37,1.524,1655377200,1655380860,3660,1.016666667,9.144,3.048,1.524,1.016,2022-06-16T11:00:00Z,2022-06-16T12:01:00Z
38,2.032,1655485140,1655486760,1620,0.45,6.096,4.064,4.064,2.032,2022-06-17T16:59:00Z,2022-06-17T17:26:00Z
39,0.254,1655647860,1655647860,0,0,0,1.016,0.508,0.254,2022-06-19T14:11:00Z,2022-06-19T14:11:00Z
40,4.572,1656249900,1656262560,12660,3.516666667,12.192,7.112,4.064,2.54,2022-06-26T13:25:00Z,2022-06-26T16:56:00Z
41,0.508,1656617760,1656620100,2340,0.65,3.048,1.016,0.508,0.508,2022-06-30T19:36:00Z,2022-06-30T20:15:00Z
42,3.048,1656702540,1656724380,21840,6.066666667,18.288,11.176,5.588,2.794,2022-07-01T19:09:00Z,2022-07-02T01:13:00Z
43,1.778,1656870600,1656873720,3120,0.866666667,9.144,4.064,3.048,1.778,2022-07-03T17:50:00Z,2022-07-03T18:42:00Z
44,8.128,1657020420,1657056780,36360,10.1,12.192,8.128,6.604,3.81,2022-07-05T11:27:00Z,2022-07-05T21:33:00Z
45,4.318,1657084320,1657091580,7260,2.016666667,9.144,6.096,5.588,3.81,2022-07-06T05:12:00Z,2022-07-06T07:13:00Z
46,5.334,1657116960,1657129020,12060,3.35,30.48,19.304,10.16,5.08,2022-07-06T14:16:00Z,2022-07-06T17:37:00Z
47,2.54,1657190220,1657190880,660,0.183333333,15.24,10.16,5.08,2.54,2022-07-07T10:37:00Z,2022-07-07T10:48:00Z
48,0.762,1657301100,1657301520,420,0.116666667,6.096,3.048,1.524,0.762,2022-07-08T17:25:00Z,2022-07-08T17:32:00Z
49,1.524,1657734720,1657745820,11100,3.083333333,3.048,2.032,1.524,1.27,2022-07-13T17:52:00Z,2022-07-13T20:57:00Z
50,0.762,1657830780,1657831860,1080,0.3,3.048,2.032,1.524,0.762,2022-07-14T20:33:00Z,2022-07-14T20:51:00Z
51,13.716,1657888380,1657927080,38700,10.75,39.624,15.24,14.224,7.112,2022-07-15T12:33:00Z,2022-07-15T23:18:00Z
52,2.286,1657981080,1657987560,6480,1.8,18.288,6.096,3.048,1.778,2022-07-16T14:18:00Z,2022-07-16T16:06:00Z
53,0.254,1658040720,1658040720,0,0,0,1.016,0.508,0.254,2022-07-17T06:52:00Z,2022-07-17T06:52:00Z
54,0.508,1658341680,1658343420,1740,0.483333333,3.048,1.016,1.016,0.508,2022-07-20T18:28:00Z,2022-07-20T18:57:00Z
55,1.27,1658520540,1658521440,900,0.25,12.192,5.08,2.54,1.27,2022-07-22T20:09:00Z,2022-07-22T20:24:00Z
56,3.556,1658596560,1658603520,6960,1.933333333,9.144,3.048,2.032,1.27,2022-07-23T17:16:00Z,2022-07-23T19:12:00Z
57,0.254,1658634600,1658634600,0,0,0,1.016,0.508,0.254,2022-07-24T03:50:00Z,2022-07-24T03:50:00Z
58,3.048,1658671740,1658674320,2580,0.716666667,21.336,7.112,5.588,3.048,2022-07-24T14:09:00Z,2022-07-24T14:52:00Z
59,13.97,1658950800,1658969820,19020,5.283333333,97.536,32.512,27.432,13.716,2022-07-27T19:40:00Z,2022-07-28T00:57:00Z
60,0.762,1659364620,1659366420,1800,0.5,3.048,1.016,1.524,0.762,2022-08-01T14:37:00Z,2022-08-01T15:07:00Z
61,0.508,1659707760,1659708540,780,0.216666667,3.048,2.032,1.016,0.508,2022-08-05T13:56:00Z,2022-08-05T14:09:00Z
62,0.762,1660137540,1660138380,840,0.233333333,3.048,3.048,1.524,0.762,2022-08-10T13:19:00Z,2022-08-10T13:33:00Z
63,1.27,1660395240,1660412160,16920,4.7,3.048,1.016,1.016,0.762,2022-08-13T12:54:00Z,2022-08-13T17:36:00Z
64,3.302,1660482300,1660518840,36540,10.15,9.144,5.08,2.54,1.778,2022-08-14T13:05:00Z,2022-08-14T23:14:00Z
65,33.782,1660562160,1660591020,28860,8.016666667,42.672,22.352,13.208,8.636,2022-08-15T11:16:00Z,2022-08-15T19:17:00Z
66,6.604,1661077740,1661079780,2040,0.566666667,21.336,15.24,12.7,6.604,2022-08-21T10:29:00Z,2022-08-21T11:03:00Z
67,0.508,1661350080,1661350320,240,0.066666667,0,2.032,1.016,0.508,2022-08-24T14:08:00Z,2022-08-24T14:12:00Z
68,1.016,1661435880,1661436660,780,0.216666667,6.096,4.064,2.032,1.016,2022-08-25T13:58:00Z,2022-08-25T14:11:00Z
69,1.524,1661514600,1661529300,14700,4.083333333,12.192,5.08,2.54,1.27,2022-08-26T11:50:00Z,2022-08-26T15:55:00Z
70,0.508,1661699760,1661700120,360,0.1,3.048,2.032,1.016,0.508,2022-08-28T15:16:00Z,2022-08-28T15:22:00Z
71,3.302,1662741180,1662789060,47880,13.3,3.048,1.016,0.508,0.508,2022-09-09T16:33:00Z,2022-09-10T05:51:00Z
72,6.604,1663157400,1663173120,15720,4.366666667,12.192,7.112,4.064,2.54,2022-09-14T12:10:00Z,2022-09-14T16:32:00Z
73,0.508,1663226940,1663234800,7860,2.183333333,3.048,1.016,0.508,0.254,2022-09-15T07:29:00Z,2022-09-15T09:40:00Z
74,1.016,1663329180,1663349580,20400,5.666666667,6.096,3.048,1.524,0.762,2022-09-16T11:53:00Z,2022-09-16T17:33:00Z
75,12.446,1663768860,1663829520,60660,16.85,9.144,7.112,6.096,4.826,2022-09-21T14:01:00Z,2022-09-22T06:52:00Z
76,2.032,1664292480,1664294040,1560,0.433333333,6.096,3.048,4.064,2.032,2022-09-27T15:28:00Z,2022-09-27T15:54:00Z
77,1.016,1664900280,1664900880,600,0.166666667,6.096,4.064,2.032,1.016,2022-10-04T16:18:00Z,2022-10-04T16:28:00Z
