event,P,start,end,duration,duration_hr,MI5,MI15,MI30,MI60,starttime,endtime
1,0.254,1629467220,1629467220,0,0,0,1.016,0.508,0.254,2021-08-20T13:47:00Z,2021-08-20T13:47:00Z
2,0.254,1630012020,1630012020,0,0,0,1.016,0.508,0.254,2021-08-26T21:07:00Z,2021-08-26T21:07:00Z
3,2.54,1630518960,1630555320,36360,10.1,3.048,2.032,2.032,1.27,2021-09-01T17:56:00Z,2021-09-02T04:02:00Z
4,2.032,1630602840,1630611180,8340,2.316666666666667,6.096,3.048,2.032,1.778,2021-09-02T17:14:00Z,2021-09-02T19:33:00Z
5,3.556,1630666440,1630683720,17280,4.8,9.144,8.128,4.064,2.032,2021-09-03T10:54:00Z,2021-09-03T15:42:00Z
6,4.572,1631435400,1631454600,19200,5.333333333333333,27.432000000000002,9.144,1.016,0.508,2021-09-12T08:30:00Z,2021-09-12T13:50:00Z
7,0.254,1631517300,1631517300,0,0,0,1.016,0.508,0.254,2021-09-13T07:15:00Z,2021-09-13T07:15:00Z
8,1.27,1631571360,1631581740,10380,2.8833333333333333,6.096,4.064,2.032,1.016,2021-09-13T22:16:00Z,2021-09-14T01:09:00Z
9,3.048,1632093840,1632099300,5460,1.5166666666666666,6.096,4.064,3.048,2.794,2021-09-19T23:24:00Z,2021-09-20T00:55:00Z
10,4.8260000000000005,1632890580,1632929580,39000,10.833333333333334,12.192,6.096,2.032,1.27,2021-09-29T04:43:00Z,2021-09-29T15:33:00Z
11,0.254,1632959940,1632959940,0,0,0,1.016,0.508,0.254,2021-09-29T23:59:00Z,2021-09-29T23:59:00Z
12,0.254,1632983580,1632983580,0,0,0,1.016,0.508,0.254,2021-09-30T06:33:00Z,2021-09-30T06:33:00Z
13,2.286,1633707300,1633735920,28620,7.95,3.048,2.032,2.032,1.27,2021-10-08T15:35:00Z,2021-10-08T23:32:00Z
14,0.254,1633765920,1633765920,0,0,0,1.016,0.508,0.254,2021-10-09T07:52:00Z,2021-10-09T07:52:00Z
15,1.778,1634042700,1634058240,15540,4.316666666666666,3.048,2.032,1.524,0.762,2021-10-12T12:45:00Z,2021-10-12T17:04:00Z
16,2.032,1634117880,1634120100,2220,0.6166666666666667,6.096,3.048,3.048,2.032,2021-10-13T09:38:00Z,2021-10-13T10:15:00Z
17,1.016,1634214780,1634215260,480,0.13333333333333333,6.096,4.064,2.032,1.016,2021-10-14T12:33:00Z,2021-10-14T12:41:00Z
18,5.08,1635759660,1635765780,6120,1.7,9.144,7.112,4.064,2.54,2021-11-01T09:41:00Z,2021-11-01T11:23:00Z
19,2.032,1635844020,1635874080,30060,8.35,9.144,5.08,2.54,1.27,2021-11-02T09:07:00Z,2021-11-02T17:28:00Z
20,0.254,1636012560,1636012560,0,0,0,1.016,0.508,0.254,2021-11-04T07:56:00Z,2021-11-04T07:56:00Z
21,1.778,1637147160,1637149740,2580,0.7166666666666667,6.096,3.048,2.54,1.778,2021-11-17T11:06:00Z,2021-11-17T11:49:00Z
22,0.762,1639040700,1639041180,480,0.13333333333333333,6.096,3.048,1.524,0.762,2021-12-09T09:05:00Z,2021-12-09T09:13:00Z
23,0.508,1640312940,1640314140,1200,0.3333333333333333,3.048,1.016,1.016,0.508,2021-12-24T02:29:00Z,2021-12-24T02:49:00Z
24,2.286,1640429940,1640441220,11280,3.1333333333333333,3.048,3.048,2.54,1.524,2021-12-25T10:59:00Z,2021-12-25T14:07:00Z
25,0.254,1640608440,1640608440,0,0,0,1.016,0.508,0.254,2021-12-27T12:34:00Z,2021-12-27T12:34:00Z
26,0.762,1640701140,1640702640,1500,0.4166666666666667,3.048,1.016,1.524,0.762,2021-12-28T14:19:00Z,2021-12-28T14:44:00Z
27,0.254,1640862000,1640862000,0,0,0,1.016,0.508,0.254,2021-12-30T11:00:00Z,2021-12-30T11:00:00Z
28,6.35,1641124740,1641132660,7920,2.2,15.24,7.112,5.08,4.318,2022-01-02T11:59:00Z,2022-01-02T14:11:00Z
29,5.08,1641475380,1641478020,2640,0.7333333333333333,12.192,12.192,8.636,5.08,2022-01-06T13:23:00Z,2022-01-06T14:07:00Z
30,0.508,1641642240,1641643500,1260,0.35,3.048,1.016,1.016,0.508,2022-01-08T11:44:00Z,2022-01-08T12:05:00Z
31,3.302,1642848120,1642851360,3240,0.9,9.144,7.112,0.508,3.302,2022-01-22T10:42:00Z,2022-01-22T11:36:00Z
32,5.08,1643199660,1643206920,7260,2.0166666666666666,6.096,5.08,4.064,2.794,2022-01-26T12:21:00Z,2022-01-26T14:22:00Z
33,2.286,1643359740,1643372460,12720,3.533333333333333,6.096,3.048,2.54,0.508,2022-01-28T08:49:00Z,2022-01-28T12:21:00Z
34,0.254,1643897100,1643897100,0,0,0,1.016,0.508,0.254,2022-02-03T14:05:00Z,2022-02-03T14:05:00Z
35,3.556,1643970360,1643979000,8640,2.4,3.048,2.032,2.032,1.778,2022-02-04T10:26:00Z,2022-02-04T12:50:00Z
36,1.524,1644663900,1644666420,2520,0.7,6.096,4.064,2.032,1.524,2022-02-12T11:05:00Z,2022-02-12T11:47:00Z
37,5.334,1645093440,1645102620,9180,2.55,6.096,4.064,3.048,2.794,2022-02-17T10:24:00Z,2022-02-17T12:57:00Z
