"","site","date","dailyp_mm"
"1","me",2021-07-19,6.604
"2","me",2021-07-20,1.016
"3","me",2021-07-23,7.112
"4","me",2021-07-30,0.508
"5","me",2021-07-31,5.334
"6","me",2021-08-02,1.016
"7","me",2021-08-03,22.606
"8","me",2021-08-06,6.096
"9","me",2021-08-17,0.254
"10","me",2021-08-18,5.588
"11","me",2021-08-19,2.794
"12","me",2021-08-20,1.016
"13","me",2021-08-26,0.508
"14","me",2021-09-01,2.54
"15","me",2021-09-02,3.302
"16","me",2021-09-03,4.318
"17","me",2021-09-12,5.842
"18","me",2021-09-13,5.588
"19","me",2021-09-14,0.254
"20","me",2021-09-19,1.27
"21","me",2021-09-20,2.286
"22","me",2021-09-29,7.62
"23","me",2021-09-30,0.508
"24","me",2021-10-08,3.048
"25","me",2021-10-09,0.508
"26","me",2021-10-12,0.254
"27","me",2021-10-13,5.08
"28","me",2021-10-14,1.016
"29","me",2021-10-15,0.254
"30","me",2022-06-16,1.524
"31","me",2022-06-17,2.032
"32","me",2022-06-19,0.254
"33","me",2022-06-26,4.572
"34","me",2022-06-30,0.508
"35","me",2022-07-01,2.794
"36","me",2022-07-02,0.254
"37","me",2022-07-03,1.778
"38","me",2022-07-05,8.128
"39","me",2022-07-06,9.652
"40","me",2022-07-07,2.54
"41","me",2022-07-08,0.762
"42","me",2022-07-13,1.524
"43","me",2022-07-14,0.762
"44","me",2022-07-15,13.716
"45","me",2022-07-16,2.286
"46","me",2022-07-17,0.254
"47","me",2022-07-20,0.508
"48","me",2022-07-22,1.27
"49","me",2022-07-23,3.556
"50","me",2022-07-24,3.302
"51","me",2022-07-27,13.716
"52","me",2022-07-28,0.254
"53","me",2022-08-01,0.762
"54","me",2022-08-05,0.508
"55","me",2022-08-13,1.27
"56","me",2022-08-14,3.048
"57","me",2022-08-15,38.1
"58","me",2022-08-21,1.524
"59","me",2022-08-24,2.286
"60","me",2022-08-25,1.016
"61","me",2022-08-26,1.778
"62","me",2022-08-28,0.508
"63","me",2022-09-09,1.778
"64","me",2022-09-10,0.508
"65","me",2022-09-14,8.128
"66","me",2022-09-15,0.254
"67","me",2022-09-16,1.27
"68","me",2022-09-21,11.684
"69","me",2022-09-22,1.016
"70","me",2022-09-27,1.27
"71","me",2022-10-04,1.778
"72","mm",2021-09-06,1.27
"73","mm",2021-09-12,4.318
"74","mm",2021-09-13,1.016
"75","mm",2021-09-19,0.762
"76","mm",2021-09-20,1.524
"77","mm",2021-09-23,2.794
"78","mm",2021-09-29,2.032
"79","mm",2021-09-30,0.508
"80","mm",2021-10-08,1.524
"81","mm",2021-10-09,0.254
"82","mm",2021-10-12,0.254
"83","mm",2022-05-24,9.398
"84","mm",2022-05-25,9.144
"85","mm",2022-05-29,1.016
"86","mm",2022-05-31,3.302
"87","mm",2022-06-01,16.002
"88","mm",2022-06-05,0.508
"89","mm",2022-06-06,4.064
"90","mm",2022-06-07,1.524
"91","mm",2022-08-10,0.762
"92","mm",2022-08-13,1.27
"93","mm",2022-08-14,3.302
"94","mm",2022-08-15,33.782
"95","mm",2022-08-21,6.604
"96","mm",2022-08-24,0.508
"97","mm",2022-08-25,1.016
"98","mm",2022-08-26,1.524
"99","mm",2022-08-28,0.508
"100","mm",2022-09-09,1.778
"101","mm",2022-09-10,1.524
"102","mm",2022-09-14,6.604
"103","mm",2022-09-15,0.508
"104","mm",2022-09-16,1.016
"105","mm",2022-09-21,11.684
"106","mm",2022-09-22,0.762
"107","mm",2022-09-27,2.032
"108","mm",2022-10-04,1.016
"109","mw",2021-08-20,0.254
"110","mw",2021-08-26,0.254
"111","mw",2021-09-01,1.524
"112","mw",2021-09-02,3.048
"113","mw",2021-09-03,3.556
"114","mw",2021-09-12,4.572
"115","mw",2021-09-13,1.27
"116","mw",2021-09-14,0.254
"117","mw",2021-09-19,2.032
"118","mw",2021-09-20,1.016
"119","mw",2021-09-29,5.08
"120","mw",2021-09-30,0.254
"121","mw",2021-10-08,2.286
"122","mw",2021-10-09,0.254
"123","mw",2021-10-12,1.778
"124","mw",2021-10-13,2.032
"125","mw",2021-10-14,1.016
"126","mw",2021-11-01,5.08
"127","mw",2021-11-02,2.032
"128","mw",2021-11-04,0.254
"129","mw",2021-11-17,1.778
"130","mw",2021-12-09,0.762
"131","mw",2021-12-24,0.508
"132","mw",2021-12-25,2.286
"133","mw",2021-12-27,0.254
"134","mw",2021-12-28,0.762
"135","mw",2021-12-30,0.254
"136","mw",2022-01-02,6.35
"137","mw",2022-01-06,5.08
"138","mw",2022-01-08,0.508
"139","mw",2022-01-22,3.302
"140","mw",2022-01-26,5.08
"141","mw",2022-01-28,2.286
"142","mw",2022-02-03,0.254
"143","mw",2022-02-04,3.556
"144","mw",2022-02-12,1.524
"145","mw",2022-02-17,5.334
"146","mw",2022-02-26,1.524
"147","mw",2022-03-04,0.254
"148","mw",2022-03-05,0.254
"149","mw",2022-03-07,2.794
"150","mw",2022-03-10,0.254
"151","mw",2022-03-12,3.556
"152","mw",2022-03-16,2.286
"153","mw",2022-03-17,8.128
"154","mw",2022-03-18,20.574
"155","mw",2022-03-20,0.254
"156","mw",2022-03-29,0.762
"157","mw",2022-04-01,0.254
"158","mw",2022-04-05,3.048
"159","mw",2022-04-09,0.762
"160","mw",2022-04-10,0.508
"161","mw",2022-04-11,0.508
"162","mw",2022-04-12,5.588
"163","mw",2022-04-13,0.254
"164","mw",2022-04-17,1.524
"165","mw",2022-04-18,0.254
"166","mw",2022-04-23,0.254
"167","mw",2022-04-25,0.508
"168","mw",2022-04-30,0.254
"169","mw",2022-05-01,2.286
"170","mw",2022-05-02,3.81
"171","mw",2022-05-03,2.794
"172","mw",2022-05-04,10.414
"173","mw",2022-05-06,0.254
"174","mw",2022-05-07,0.508
"175","mw",2022-05-08,7.366
"176","mw",2022-05-09,1.27
"177","mw",2022-05-20,2.54
"178","mw",2022-05-21,6.604
"179","mw",2022-05-22,2.032
"180","mw",2022-05-23,2.54
"181","mw",2022-05-24,13.462
"182","mw",2022-05-25,11.938
"183","mw",2022-05-29,0.762
"184","mw",2022-05-31,5.334
"185","mw",2022-06-01,13.716
"186","mw",2022-06-05,1.524
"187","mw",2022-06-06,4.826
"188","mw",2022-06-07,2.286
"189","mw",2022-06-17,2.286
"190","mw",2022-06-24,0.254
"191","mw",2022-06-26,5.842
"192","mw",2022-06-30,1.27
"193","mw",2022-07-01,2.286
"194","mw",2022-07-03,3.556
"195","mw",2022-07-05,8.382
"196","mw",2022-07-06,3.81
"197","mw",2022-08-03,0.762
"198","mw",2022-08-05,1.778
"199","mw",2022-08-13,0.762
"200","mw",2022-08-14,2.54
"201","mw",2022-08-15,21.336
"202","mw",2022-08-21,1.778
"203","mw",2022-08-24,0.508
"204","mw",2022-08-25,3.556
"205","mw",2022-08-26,0.762
"206","mw",2022-08-28,0.254
"207","mw",2022-09-09,1.27
"208","mw",2022-09-10,0.508
"209","mw",2022-09-14,5.334
"210","mw",2022-09-15,0.508
"211","mw",2022-09-16,0.762
"212","mw",2022-09-21,10.668
"213","mw",2022-09-22,0.762
"214","mw",2022-09-27,2.54
"215","mw",2022-10-04,2.54
"216","ue",2021-09-06,0.508
"217","ue",2021-09-12,4.826
"218","ue",2021-09-13,1.27
"219","ue",2021-09-14,0.508
"220","ue",2021-09-19,1.778
"221","ue",2021-09-20,1.778
"222","ue",2021-09-29,5.588
"223","ue",2021-09-30,0.762
"224","ue",2021-10-08,1.778
"225","ue",2021-10-09,0.508
"226","ue",2021-10-12,0.254
"227","ue",2022-05-07,0.762
"228","ue",2022-05-08,10.414
"229","ue",2022-05-09,1.524
"230","ue",2022-05-20,3.556
"231","ue",2022-05-21,8.128
"232","ue",2022-05-22,2.54
"233","ue",2022-05-23,3.048
"234","ue",2022-05-24,14.478
"235","ue",2022-05-25,15.494
"236","ue",2022-05-29,1.27
"237","ue",2022-05-31,6.858
"238","ue",2022-06-01,18.542
"239","ue",2022-06-05,2.032
"240","ue",2022-06-06,5.588
"241","ue",2022-06-07,2.54
"242","ue",2022-06-17,3.048
"243","ue",2022-06-24,0.254
"244","ue",2022-06-26,5.334
"245","ue",2022-06-30,2.032
"246","ue",2022-07-01,2.54
"247","ue",2022-07-02,0.254
"248","ue",2022-07-03,4.826
"249","ue",2022-07-05,10.16
"250","ue",2022-07-06,19.558
"251","ue",2022-07-07,0.762
"252","ue",2022-07-08,0.254
