event,P,start,end,duration,duration_hr,MI5,MI15,MI30,MI60,starttime,endtime
1,0.508,1630933860,1630933860,0,0,0,2.032,1.016,0.508,2021-09-06T13:11:00Z,2021-09-06T13:11:00Z
2,4.8260000000000005,1631434920,1631454840,19920,5.533333333333333,27.432000000000002,14.224,7.112,0.508,2021-09-12T08:22:00Z,2021-09-12T13:54:00Z
3,1.778,1631571540,1631588340,16800,4.666666666666667,9.144,4.064,2.54,1.27,2021-09-13T22:19:00Z,2021-09-14T02:59:00Z
4,3.556,1632093900,1632109320,15420,4.283333333333333,6.096,5.08,3.556,3.048,2021-09-19T23:25:00Z,2021-09-20T03:42:00Z
5,5.588,1632890700,1632934500,43800,12.166666666666666,12.192,7.112,5.08,2.794,2021-09-29T04:45:00Z,2021-09-29T16:55:00Z
6,0.762,1632961920,1632985860,23940,6.65,3.048,1.016,0.508,0.254,2021-09-30T00:32:00Z,2021-09-30T07:11:00Z
7,1.778,1633709220,1633716420,7200,2,3.048,2.032,1.524,1.016,2021-10-08T16:07:00Z,2021-10-08T18:07:00Z
8,0.254,1633761060,1633761060,0,0,0,1.016,0.508,0.254,2021-10-09T06:31:00Z,2021-10-09T06:31:00Z
9,0.254,1633782840,1633782840,0,0,0,1.016,0.508,0.254,2021-10-09T12:34:00Z,2021-10-09T12:34:00Z
10,0.254,1634044560,1634044560,0,0,0,1.016,0.508,0.254,2021-10-12T13:16:00Z,2021-10-12T13:16:00Z
11,11.176,1651959960,1651995720,35760,9.933333333333334,12.192,7.112,6.604,5.8420000000000005,2022-05-07T21:46:00Z,2022-05-08T07:42:00Z
12,1.524,1652070600,1652081460,10860,3.0166666666666666,3.048,2.032,1.524,1.016,2022-05-09T04:30:00Z,2022-05-09T07:31:00Z
13,3.556,1653041100,1653050040,8940,2.4833333333333334,6.096,5.08,4.064,2.54,2022-05-20T10:05:00Z,2022-05-20T12:34:00Z
14,8.128,1653122340,1653126900,4560,1.2666666666666666,12.192,10.16,8.636,6.35,2022-05-21T08:39:00Z,2022-05-21T09:55:00Z
15,5.588,1653240900,1653289200,48300,13.416666666666666,3.048,3.048,2.032,1.27,2022-05-22T17:35:00Z,2022-05-23T07:00:00Z
16,14.478,1653392700,1653417000,24300,6.75,9.144,8.128,7.62,7.112,2022-05-24T11:45:00Z,2022-05-24T18:30:00Z
17,15.494,1653465300,1653468180,2880,0.8,24.384,24.384,21.336,15.494,2022-05-25T07:55:00Z,2022-05-25T08:43:00Z
18,1.27,1653831180,1653849660,18480,5.133333333333334,3.048,1.016,1.016,0.762,2022-05-29T13:33:00Z,2022-05-29T18:41:00Z
19,6.8580000000000005,1654000800,1654017540,16740,4.65,6.096,4.064,3.048,2.032,2022-05-31T12:40:00Z,2022-05-31T17:19:00Z
20,18.542,1654072500,1654075500,3000,0.8333333333333334,27.432000000000002,23.368000000000002,22.86,18.542,2022-06-01T08:35:00Z,2022-06-01T09:25:00Z
21,2.032,1654448520,1654462440,13920,3.8666666666666667,12.192,4.064,2.54,1.27,2022-06-05T17:02:00Z,2022-06-05T20:54:00Z
22,5.588,1654527540,1654529280,1740,0.48333333333333334,24.384,15.24,11.176,5.588,2022-06-06T14:59:00Z,2022-06-06T15:28:00Z
23,2.54,1654563480,1654566000,2520,0.7,12.192,8.128,4.572,2.54,2022-06-07T00:58:00Z,2022-06-07T01:40:00Z
24,3.048,1655485320,1655487060,1740,0.48333333333333334,24.384,11.176,6.096,3.048,2022-06-17T17:02:00Z,2022-06-17T17:31:00Z
25,0.254,1656084060,1656084060,0,0,0,1.016,0.508,0.254,2022-06-24T15:21:00Z,2022-06-24T15:21:00Z
26,5.334,1656249960,1656262920,12960,3.6,27.432000000000002,10.16,6.096,3.556,2022-06-26T13:26:00Z,2022-06-26T17:02:00Z
27,0.254,1656573120,1656573120,0,0,0,1.016,0.508,0.254,2022-06-30T07:12:00Z,2022-06-30T07:12:00Z
28,1.778,1656612840,1656621480,8640,2.4,6.096,2.032,1.524,1.27,2022-06-30T18:14:00Z,2022-06-30T20:38:00Z
29,2.54,1656702720,1656703560,840,0.23333333333333334,18.288,10.16,5.08,2.54,2022-07-01T19:12:00Z,2022-07-01T19:26:00Z
30,0.254,1656738960,1656738960,0,0,0,1.016,0.508,0.254,2022-07-02T05:16:00Z,2022-07-02T05:16:00Z
31,4.8260000000000005,1656870300,1656872880,2580,0.7166666666666667,24.384,10.16,9.144,4.8260000000000005,2022-07-03T17:45:00Z,2022-07-03T18:28:00Z
32,10.16,1657020660,1657056960,36300,10.083333333333334,24.384,11.176,5.588,3.556,2022-07-05T11:31:00Z,2022-07-05T21:36:00Z
33,19.558,1657084560,1657117620,33060,9.183333333333334,94.488,6.096,4.572,3.556,2022-07-06T05:16:00Z,2022-07-06T14:27:00Z
34,0.762,1657190400,1657190760,360,0.1,6.096,3.048,1.524,0.762,2022-07-07T10:40:00Z,2022-07-07T10:46:00Z
35,0.254,1657301400,1657301400,0,0,0,1.016,0.508,0.254,2022-07-08T17:30:00Z,2022-07-08T17:30:00Z
36,1.524,1657735200,1657741740,6540,1.8166666666666667,6.096,3.048,2.032,1.27,2022-07-13T18:00:00Z,2022-07-13T19:49:00Z
