event,P,start,end,duration,duration_hr,MI5,MI15,MI30,MI60,starttime,endtime
1,53.086,1626696480,1626702000,5520,1.5333333333333334,509.01599999999996,191.008,95.504,4.572,2021-07-19T12:08:00Z,2021-07-19T13:40:00Z
2,5.334,1626799440,1626811800,12360,3.433333333333333,21.336,13.208,8.636,4.572,2021-07-20T16:44:00Z,2021-07-20T20:10:00Z
3,0.508,1626869400,1626877500,8100,2.25,3.048,1.016,0.508,0.254,2021-07-21T12:10:00Z,2021-07-21T14:25:00Z
4,4.318,1627038060,1627048920,10860,3.0166666666666666,9.144,5.08,5.08,3.302,2021-07-23T11:01:00Z,2021-07-23T14:02:00Z
5,0.508,1627663620,1627665960,2340,0.65,3.048,1.016,0.508,0.508,2021-07-30T16:47:00Z,2021-07-30T17:26:00Z
6,7.112,1627708080,1627741980,33900,9.416666666666666,9.144,6.096,3.556,3.048,2021-07-31T05:08:00Z,2021-07-31T14:33:00Z
7,1.524,1627924080,1627929900,5820,1.6166666666666667,3.048,2.032,1.016,0.762,2021-08-02T17:08:00Z,2021-08-02T18:45:00Z
8,11.43,1627982940,1628020020,37080,10.3,9.144,6.096,4.572,3.302,2021-08-03T09:29:00Z,2021-08-03T19:47:00Z
9,0.254,1628048160,1628048160,0,0,0,1.016,0.508,0.254,2021-08-04T03:36:00Z,2021-08-04T03:36:00Z
10,3.556,1628273160,1628273640,480,0.13333333333333333,36.576,14.224,7.112,3.556,2021-08-06T18:06:00Z,2021-08-06T18:14:00Z
11,0.254,1629224640,1629224640,0,0,0,1.016,0.508,0.254,2021-08-17T18:24:00Z,2021-08-17T18:24:00Z
12,4.318,1629295560,1629328380,32820,9.116666666666667,9.144,5.08,4.572,2.54,2021-08-18T14:06:00Z,2021-08-18T23:13:00Z
13,0.254,1629392040,1629392040,0,0,0,1.016,0.508,0.254,2021-08-19T16:54:00Z,2021-08-19T16:54:00Z
14,0.762,1629420060,1629420900,840,0.23333333333333334,3.048,3.048,1.524,0.762,2021-08-20T00:41:00Z,2021-08-20T00:55:00Z
15,0.254,1629555600,1629555600,0,0,0,1.016,0.508,0.254,2021-08-21T14:20:00Z,2021-08-21T14:20:00Z
16,1.016,1630011360,1630015860,4500,1.25,3.048,3.048,1.524,0.762,2021-08-26T20:56:00Z,2021-08-26T22:11:00Z
17,3.81,1630517760,1630549380,31620,8.783333333333333,6.096,4.064,2.032,2.032,2021-09-01T17:36:00Z,2021-09-02T02:23:00Z
18,1.524,1630602720,1630625700,22980,6.383333333333334,6.096,2.032,1.524,1.27,2021-09-02T17:12:00Z,2021-09-02T23:35:00Z
19,4.064,1630666380,1630690200,23820,6.616666666666666,15.24,10.16,5.588,2.794,2021-09-03T10:53:00Z,2021-09-03T17:30:00Z
20,3.556,1631431740,1631455080,23340,6.483333333333333,15.24,3.048,1.524,1.016,2021-09-12T07:29:00Z,2021-09-12T13:58:00Z
