DateTime,Month,Month_text,ID,Latitude,Longitude,Transect,depth1_cm,depth2_cm,depth3_cm,depth4_cm,depth5_cm,depth_mean,density1,density2,density3,swe1_cm,swe2_cm,swe3_cm,swe_mean,aspect,burn_sev
2/7/21 17:28,2,Feb,ag1,40.6145337,-105.8196179,UB_T,67,69,66,66,56,64.8,0.158810707,0.136697824,0.164841493,10.79912807,9.022056361,11.20922154,10.34346866,-1,1
3/20/21 18:28,3,Mar,ag1,40.6145337,-105.8196179,UB_T,74,85,67,78,57,72.2,0.222277822,0.288771187,0.331237538,16.89311445,22.5241526,22.5241526,20.64713988,-1,1
4/11/21 15:54,4,Apr,ag1,40.6145337,-105.8196179,UB_T,35,36,38,42,29,36,0.278644698,0.249237219,0.217557469,12.81765611,11.71414929,9.790086123,11.44063051,-1,1
5/8/21 16:03,5,May,ag1,40.6145337,-105.8196179,UB_T,7,0,0,0,0,1.4,0.280120961,,,5.602419226,0,0,1.867473075,-1,1
2/7/21 19:51,2,Feb,ag10,40.6131769,-105.8179366,PB_T,69,66,71,69,69,68.8,0.148249752,0.120848801,0.150367606,10.52573242,8.338567243,10.52573242,9.796677361,358.8283997,2
3/20/21 20:18,3,Mar,ag10,40.6131769,-105.8179366,PB_T,93,91,97,89,90,92,0.253713859,0.216176078,0.175758694,23.84910275,20.53672737,17.22435199,20.53672737,358.8283997,2
4/11/21 17:17,4,Apr,ag10,40.6131769,-105.8179366,PB_T,85,55,58,63,60,64.2,0.297315643,0.243427226,0.222501957,19.32551683,15.33591526,14.68512918,16.44885376,358.8283997,2
5/8/21 16:58,5,May,ag10,40.6131769,-105.8179366,PB_T,28,23,35,46,20,30.4,0.272845092,0.307001256,0.269891214,7.639662582,12.28005022,10.52575733,10.14849004,358.8283997,2
2/7/21 18:02,2,Feb,ag2,40.6142127,-105.8194433,UB_T,81,88,85,87,87,85.6,,,,,,,,311.908905,1
3/20/21 19:09,3,Mar,ag2,40.6142127,-105.8194433,UB_T,101,95,102,102,100,100,,,,,,,,311.908905,1
4/11/21 16:48,4,Apr,ag2,40.6142127,-105.8194433,UB_T,80,75,80,83,79,79.4,,,,,,,,311.908905,1
5/8/21 16:16,5,May,ag2,40.6142127,-105.8194433,UB_T,55,58,55,42,45,51,,,,,,,,311.908905,1
2/7/21 18:11,2,Feb,ag3,40.6140377,-105.8191265,UB_T,89,83,82,88,84,85.2,,,,,,,,343.8232117,1
3/20/21 19:16,3,Mar,ag3,40.6140377,-105.8191265,UB_T,107,103,107,102,103,104.4,,,,,,,,343.8232117,1
4/11/21 16:53,4,Apr,ag3,40.6140377,-105.8191265,UB_T,95,85,86,76,90,86.4,,,,,,,,343.8232117,1
5/8/21 16:18,5,May,ag3,40.6140377,-105.8191265,UB_T,70,78,65,65,73,70.2,,,,,,,,343.8232117,1
2/7/21 18:29,2,Feb,ag4,40.6138589,-105.8203917,UB_T,84,74,84,92,74,81.6,,,,,,,,6.0659533,1
3/20/21 19:29,3,Mar,ag4,40.6138589,-105.8203917,UB_T,103,110,88,90,108,99.8,,,,,,,,6.0659533,1
4/11/21 16:58,4,Apr,ag4,40.6138589,-105.8203917,UB_T,83,78,79,76,83,79.8,0.302118078,0.286226735,0.314460859,28.09698127,27.19153978,27.67255557,27.65369221,6.0659533,1
5/8/21 16:26,5,May,ag4,40.6138589,-105.8203917,UB_T,70,80,70,80,75,75,0.312605427,0.355856544,0.30963509,25.00843414,26.33338429,21.36482122,24.23554655,6.0659533,1
2/7/21 18:41,2,Feb,ag5,40.6136724,-105.8199026,UB_T,50,60,55,62,58,57,0.10632053,0.133518805,0.134166382,5.741308594,5.741308594,7.244984654,6.242533947,308.9584656,1
3/20/21 19:38,3,Mar,ag5,40.6136724,-105.8199026,UB_T,82,70,70,85,79,77.2,0.249562529,0.209939285,0.220825025,18.2180646,14.90568922,16.56187691,16.56187691,308.9584656,1
4/11/21 17:01,4,Apr,ag5,40.6136724,-105.8199026,UB_T,45,46,46,42,40,43.8,,,,,,,,308.9584656,1
5/8/21 16:42,5,May,ag5,40.6136724,-105.8199026,UB_T,28,31,16,17,26,23.6,,,,,,,,308.9584656,1
2/7/21 19:08,2,Feb,ag6,40.6133954,-105.8193181,UB_T,70,70,58,60,67,65,,,,,,,,313.5750122,1
3/20/21 20:01,3,Mar,ag6,40.6133954,-105.8193181,UB_T,78,85,84,82,80,81.8,,,,,,,,313.5750122,1
4/11/21 17:06,4,Apr,ag6,40.6133954,-105.8193181,UB_T,29,40,36,40,45,38,,,,,,,,313.5750122,1
5/8/21 16:48,5,May,ag6,40.6133954,-105.8193181,UB_T,0,5,0,5,5,3,,,,,,,,313.5750122,1
2/7/21 19:22,2,Feb,ag7,40.6132467,-105.8186887,UB_T,56,55,52,60,62,57,,,,,,,,312.7039185,1
3/20/21 20:05,3,Mar,ag7,40.6132467,-105.8186887,UB_T,84,83,83,80,84,82.8,,,,,,,,312.7039185,1
4/11/21 17:09,4,Apr,ag7,40.6132467,-105.8186887,UB_T,45,39,39,34,38,39,,,,,,,,312.7039185,1
5/8/21 16:52,5,May,ag7,40.6132467,-105.8186887,UB_T,23,0,18,25,23,17.8,,,,,,,,312.7039185,1
2/7/21 19:33,2,Feb,ag8,,,UB_T,67,68,63,62,65,65,,,,,,,,353.6733093,1
3/20/21 20:11,3,Mar,ag8,,,UB_T,70,70,73,73,73,71.8,,,,,,,,353.6733093,1
4/11/21 17:39,4,Apr,ag8,,,UB_T,52,38,70,60,64,56.8,,,,,,,,353.6733093,1
2/7/21 19:45,2,Feb,ag9,40.6129167,-105.8175534,PB_T,80,76,78,76,72,76.4,,,,,,,,350.6964111,2
3/20/21 20:15,3,Mar,ag9,40.6129167,-105.8175534,PB_T,86,87,90,93,85,88.2,,,,,,,,350.6964111,2
4/11/21 17:33,4,Apr,ag9,40.6129167,-105.8175534,PB_T,50,50,49,44,49,48.4,,,,,,,,350.6964111,2
5/8/21 17:20,5,May,ag9,40.6129167,-105.8175534,PB_T,16,23,16,15,21,18.2,,,,,,,,350.6964111,2
2/7/21 20:56,2,Feb,agb1,40.6212775,-105.8169834,B_T,65,66,58,73,67,65.8,0.079716528,0.240848546,0.233881433,4.942424708,15.17345843,14.96841169,11.69476494,292.8937073,3
3/20/21 21:42,3,Mar,agb1,40.6212775,-105.8169834,B_T,55,42,53,51,55,51.2,,,,,,,,292.8937073,3
4/11/21 18:38,4,Apr,agb1,40.6212775,-105.8169834,B_T,0,,,,,0,5.145454545,,,,,,0,292.8937073,3
5/8/21 0:00,5,May,agb1,40.6212775,-105.8169834,B_T,0,,,,,0,,,,,,,0,292.8937073,3
2/7/21 22:05,2,Feb,agb10,40.621048,-105.816844,B_T,69,65,69,63,57,64.6,,,,,,,,297.8611145,3
3/20/21 22:52,3,Mar,agb10,40.621048,-105.816844,B_T,67,69,63,67,69,67,,,,,,,,297.8611145,3
4/11/21 19:11,4,Apr,agb10,40.621048,-105.816844,B_T,21,21,21,20,23,21.2,,,,,,,,297.8611145,3
5/8/21 18:21,5,May,agb10,40.621048,-105.816844,B_T,30,40,24,22,0,23.2,0.348972241,,,6.281500345,0,0,2.093833448,297.8611145,3
2/7/21 22:10,2,Feb,agb11,40.62118,-105.816979,B_T,80,74,71,80,69,74.8,,,,,,,,321.323822,3
3/20/21 22:54,3,Mar,agb11,40.62118,-105.816979,B_T,62,62,58,49,48,55.8,,,,,,,,321.323822,3
4/11/21 0:00,4,Apr,agb11,40.62118,-105.816979,B_T,,,,,,0,,,,,,,,321.323822,3
5/8/21 0:00,5,May,agb11,40.62118,-105.816979,B_T,,,,,,0,,,,,,,,321.323822,3
2/7/21 21:24,2,Feb,agb2,40.621165,-105.816843,B_T,61,64,65,62,56,61.6,,,,,,,,304.6237183,3
3/20/21 21:47,3,Mar,agb2,40.621165,-105.816843,B_T,,,,,,,,,,,,,,304.6237183,3
4/11/21 18:40,4,Apr,agb2,40.621165,-105.816843,B_T,0,,,,,0,,,,,,,,304.6237183,3
5/8/21 0:00,5,May,agb2,40.621165,-105.816843,B_T,0,,,,,0,,,,,,,,304.6237183,3
2/7/21 21:29,2,Feb,agb3,,,B_T,36,42,48,49,49,44.8,0.058584782,0.045565941,0.066924976,2.870654297,2.187165179,3.212398856,2.756739444,,
4/11/21 18:42,4,Apr,agb3,,,B_T,0,,,,,0,,,,,,,0,,
5/8/21 0:00,5,May,agb3,,,B_T,,,,,,0,,,,,,,0,,
2/7/21 21:42,2,Feb,agb4,40.621142,-105.816673,B_T,46,45,44,48,42,45,,,,,,,,323.1255493,3
3/20/21 22:06,3,Mar,agb4,40.621142,-105.816673,B_T,55,56,54,53,60,55.6,0.323876704,0.307147535,0.31085369,14.57445168,16.89311445,20.20548983,17.22435199,323.1255493,3
4/11/21 0:00,4,Apr,agb4,40.621142,-105.816673,B_T,,,,,,0,,,,,,,0,323.1255493,3
5/8/21 0:00,5,May,agb4,40.621142,-105.816673,B_T,,,,,,0,,,,,,,0,323.1255493,3
2/7/21 21:48,2,Feb,agb5,,,B_T,76,69,76,73,76,74,,,,,,,,,
3/20/21 22:19,3,Mar,agb5,,,B_T,31,27,30,28,27,28.6,,,,,,,,,
4/11/21 18:53,4,Apr,agb5,,,B_T,28,11,0,0,0,7.8,,,,,,,,,
2/7/21 21:51,2,Feb,agb6,40.620774,-105.816505,B_T,34,44,42,33,45,39.6,,,,,,,,257.7036743,3
3/20/21 22:22,3,Mar,agb6,40.620774,-105.816505,B_T,75,78,77,75,78,76.6,0.220825025,0.217374634,0.272783855,13.91197661,13.91197661,13.91197661,13.91197661,257.7036743,3
4/11/21 0:00,4,Apr,agb6,40.620774,-105.816505,B_T,,,,,,0,,,,,,,0,257.7036743,3
5/8/21 0:00,5,May,agb6,40.620774,-105.816505,B_T,,,,,,0,,,,,,,0,257.7036743,3
2/7/21 21:55,2,Feb,agb7,40.620884,-105.816724,B_T,41,39,42,50,48,44,,,,,,,,250.5549774,3
