OID_,DateTime,Month,Month_text,ID,Latitude,Longitude,Transect,depth1_cm,depth2_cm,depth3_cm,depth4_cm,depth5_cm,depth_mean,density1,density2,density3,swe1_cm,swe2_cm,swe3_cm,swe_mean,RASTERVALU
1,2/7/2021 17:28:00,2,Feb,ag1,40.614533700000003,-105.819617899999997,UB_T,67,69,66,66,56,64.799999999999997,0.158810707000000,0.136697824000000,0.164841493000000,10.799128070000000,9.022056361000001,11.209221540000000,10.343468659999999,-1.0000000
2,3/20/2021 18:28:00,3,Mar,ag1,40.614533700000003,-105.819617899999997,UB_T,74,85,67,78,57,72.200000000000003,0.222277822000000,0.288771187000000,0.331237538000000,16.893114449999999,22.524152600000001,22.524152600000001,20.647139880000001,-1.0000000
3,4/11/2021 15:54:00,4,Apr,ag1,40.614533700000003,-105.819617899999997,UB_T,35,36,38,42,29,36.000000000000000,0.278644698000000,0.249237219000000,0.217557469000000,12.817656110000000,11.714149290000000,9.790086123000000,11.440630510000000,-1.0000000
4,5/8/2021 16:03:00,5,May,ag1,40.614533700000003,-105.819617899999997,UB_T,7,0,0,0,0,1.400000000000000,0.280120961000000,,,5.602419226000000,0.000000000000000,0.000000000000000,1.867473075000000,-1.0000000
5,2/7/2021 19:51:00,2,Feb,ag10,40.613176899999999,-105.817936599999996,PB_T,69,66,71,69,69,68.799999999999997,0.148249752000000,0.120848801000000,0.150367606000000,10.525732420000001,8.338567243000000,10.525732420000001,9.796677361000000,358.8283997
6,3/20/2021 20:18:00,3,Mar,ag10,40.613176899999999,-105.817936599999996,PB_T,93,91,97,89,90,92.000000000000000,0.253713859000000,0.216176078000000,0.175758694000000,23.849102750000000,20.536727370000001,17.224351989999999,20.536727370000001,358.8283997
7,4/11/2021 17:17:00,4,Apr,ag10,40.613176899999999,-105.817936599999996,PB_T,85,55,58,63,60,64.200000000000003,0.297315643000000,0.243427226000000,0.222501957000000,19.325516830000002,15.335915260000000,14.685129180000001,16.448853759999999,358.8283997
8,5/8/2021 16:58:00,5,May,ag10,40.613176899999999,-105.817936599999996,PB_T,28,23,35,46,20,30.399999999999999,0.272845092000000,0.307001256000000,0.269891214000000,7.639662582000000,12.280050220000000,10.525757329999999,10.148490040000000,358.8283997
9,2/7/2021 18:02:00,2,Feb,ag2,40.614212700000003,-105.819443300000003,UB_T,81,88,85,87,87,85.599999999999994,,,,,,,,311.9089050
10,3/20/2021 19:09:00,3,Mar,ag2,40.614212700000003,-105.819443300000003,UB_T,101,95,102,102,100,100.000000000000000,,,,,,,,311.9089050
11,4/11/2021 16:48:00,4,Apr,ag2,40.614212700000003,-105.819443300000003,UB_T,80,75,80,83,79,79.400000000000006,,,,,,,,311.9089050
12,5/8/2021 16:16:00,5,May,ag2,40.614212700000003,-105.819443300000003,UB_T,55,58,55,42,45,51.000000000000000,,,,,,,,311.9089050
13,2/7/2021 18:11:00,2,Feb,ag3,40.614037699999997,-105.819126499999996,UB_T,89,83,82,88,84,85.200000000000003,,,,,,,,343.8232117
14,3/20/2021 19:16:00,3,Mar,ag3,40.614037699999997,-105.819126499999996,UB_T,107,103,107,102,103,104.400000000000006,,,,,,,,343.8232117
15,4/11/2021 16:53:00,4,Apr,ag3,40.614037699999997,-105.819126499999996,UB_T,95,85,86,76,90,86.400000000000006,,,,,,,,343.8232117
16,5/8/2021 16:18:00,5,May,ag3,40.614037699999997,-105.819126499999996,UB_T,70,78,65,65,73,70.200000000000003,,,,,,,,343.8232117
17,2/7/2021 18:29:00,2,Feb,ag4,40.613858899999997,-105.820391700000002,UB_T,84,74,84,92,74,81.599999999999994,,,,,,,,6.0659533
18,3/20/2021 19:29:00,3,Mar,ag4,40.613858899999997,-105.820391700000002,UB_T,103,110,88,90,108,99.799999999999997,,,,,,,,6.0659533
19,4/11/2021 16:58:00,4,Apr,ag4,40.613858899999997,-105.820391700000002,UB_T,83,78,79,76,83,79.799999999999997,0.302118078000000,0.286226735000000,0.314460859000000,28.096981270000001,27.191539779999999,27.672555570000000,27.653692209999999,6.0659533
20,5/8/2021 16:26:00,5,May,ag4,40.613858899999997,-105.820391700000002,UB_T,70,80,70,80,75,75.000000000000000,0.312605427000000,0.355856544000000,0.309635090000000,25.008434139999999,26.333384290000001,21.364821220000000,24.235546549999999,6.0659533
21,2/7/2021 18:41:00,2,Feb,ag5,40.613672399999999,-105.819902600000006,UB_T,50,60,55,62,58,57.000000000000000,0.106320530000000,0.133518805000000,0.134166382000000,5.741308594000000,5.741308594000000,7.244984654000000,6.242533947000000,308.9584656
22,3/20/2021 19:38:00,3,Mar,ag5,40.613672399999999,-105.819902600000006,UB_T,82,70,70,85,79,77.200000000000003,0.249562529000000,0.209939285000000,0.220825025000000,18.218064600000002,14.905689219999999,16.561876909999999,16.561876909999999,308.9584656
23,4/11/2021 17:01:00,4,Apr,ag5,40.613672399999999,-105.819902600000006,UB_T,45,46,46,42,40,43.799999999999997,,,,,,,,308.9584656
24,5/8/2021 16:42:00,5,May,ag5,40.613672399999999,-105.819902600000006,UB_T,28,31,16,17,26,23.600000000000001,,,,,,,,308.9584656
25,2/7/2021 19:08:00,2,Feb,ag6,40.613395400000002,-105.819318100000004,UB_T,70,70,58,60,67,65.000000000000000,,,,,,,,313.5750122
26,3/20/2021 20:01:00,3,Mar,ag6,40.613395400000002,-105.819318100000004,UB_T,78,85,84,82,80,81.799999999999997,,,,,,,,313.5750122
27,4/11/2021 17:06:00,4,Apr,ag6,40.613395400000002,-105.819318100000004,UB_T,29,40,36,40,45,38.000000000000000,,,,,,,,313.5750122
28,5/8/2021 16:48:00,5,May,ag6,40.613395400000002,-105.819318100000004,UB_T,0,5,0,5,5,3.000000000000000,,,,,,,,313.5750122
29,2/7/2021 19:22:00,2,Feb,ag7,40.613246699999998,-105.818688699999996,UB_T,56,55,52,60,62,57.000000000000000,,,,,,,,312.7039185
30,3/20/2021 20:05:00,3,Mar,ag7,40.613246699999998,-105.818688699999996,UB_T,84,83,83,80,84,82.799999999999997,,,,,,,,312.7039185
31,4/11/2021 17:09:00,4,Apr,ag7,40.613246699999998,-105.818688699999996,UB_T,45,39,39,34,38,39.000000000000000,,,,,,,,312.7039185
32,5/8/2021 16:52:00,5,May,ag7,40.613246699999998,-105.818688699999996,UB_T,23,0,18,25,23,17.800000000000001,,,,,,,,312.7039185
33,2/7/2021 19:45:00,2,Feb,ag9,40.612916700000000,-105.817553399999994,PB_T,80,76,78,76,72,76.400000000000006,,,,,,,,350.6964111
34,3/20/2021 20:15:00,3,Mar,ag9,40.612916700000000,-105.817553399999994,PB_T,86,87,90,93,85,88.200000000000003,,,,,,,,350.6964111
35,4/11/2021 17:33:00,4,Apr,ag9,40.612916700000000,-105.817553399999994,PB_T,50,50,49,44,49,48.399999999999999,,,,,,,,350.6964111
36,5/8/2021 17:20:00,5,May,ag9,40.612916700000000,-105.817553399999994,PB_T,16,23,16,15,21,18.199999999999999,,,,,,,,350.6964111
37,2/7/2021 20:56:00,2,Feb,agb1,40.621277499999998,-105.816983399999998,B_T,65,66,58,73,67,65.799999999999997,0.079716528000000,0.240848546000000,0.233881433000000,4.942424708000000,15.173458430000000,14.968411690000000,11.694764940000001,292.8937073
38,3/20/2021 21:42:00,3,Mar,agb1,40.621277499999998,-105.816983399999998,B_T,55,42,53,51,55,51.200000000000003,,,,,,,,292.8937073
39,4/11/2021 18:38:00,4,Apr,agb1,40.621277499999998,-105.816983399999998,B_T,0,,,,,0.000000000000000,5.145454545000000,,,,,,0.000000000000000,292.8937073
40,5/8/2021 0:00:00,5,May,agb1,40.621277499999998,-105.816983399999998,B_T,0,,,,,0.000000000000000,,,,,,,0.000000000000000,292.8937073
41,2/7/2021 22:05:00,2,Feb,agb10,40.621048000000002,-105.816844000000003,B_T,69,65,69,63,57,64.599999999999994,,,,,,,,297.8611145
42,3/20/2021 22:52:00,3,Mar,agb10,40.621048000000002,-105.816844000000003,B_T,67,69,63,67,69,67.000000000000000,,,,,,,,297.8611145
43,4/11/2021 19:11:00,4,Apr,agb10,40.621048000000002,-105.816844000000003,B_T,21,21,21,20,23,21.199999999999999,,,,,,,,297.8611145
44,5/8/2021 18:21:00,5,May,agb10,40.621048000000002,-105.816844000000003,B_T,30,40,24,22,0,23.199999999999999,0.348972241000000,,,6.281500345000000,0.000000000000000,0.000000000000000,2.093833448000000,297.8611145
45,2/7/2021 22:10:00,2,Feb,agb11,40.621180000000003,-105.816979000000003,B_T,80,74,71,80,69,74.799999999999997,,,,,,,,321.3238220
46,3/20/2021 22:54:00,3,Mar,agb11,40.621180000000003,-105.816979000000003,B_T,62,62,58,49,48,55.799999999999997,,,,,,,,321.3238220
47,4/11/2021 0:00:00,4,Apr,agb11,40.621180000000003,-105.816979000000003,B_T,,,,,,0.000000000000000,,,,,,,,321.3238220
48,5/8/2021 0:00:00,5,May,agb11,40.621180000000003,-105.816979000000003,B_T,,,,,,0.000000000000000,,,,,,,,321.3238220
49,2/7/2021 21:24:00,2,Feb,agb2,40.621164999999998,-105.816843000000006,B_T,61,64,65,62,56,61.600000000000001,,,,,,,,304.6237183
50,3/20/2021 21:47:00,3,Mar,agb2,40.621164999999998,-105.816843000000006,B_T,,,,,,,,,,,,,,304.6237183
51,4/11/2021 18:40:00,4,Apr,agb2,40.621164999999998,-105.816843000000006,B_T,0,,,,,0.000000000000000,,,,,,,,304.6237183
52,5/8/2021 0:00:00,5,May,agb2,40.621164999999998,-105.816843000000006,B_T,0,,,,,0.000000000000000,,,,,,,,304.6237183
53,2/7/2021 21:42:00,2,Feb,agb4,40.621141999999999,-105.816672999999994,B_T,46,45,44,48,42,45.000000000000000,,,,,,,,323.1255493
54,3/20/2021 22:06:00,3,Mar,agb4,40.621141999999999,-105.816672999999994,B_T,55,56,54,53,60,55.600000000000001,0.323876704000000,0.307147535000000,0.310853690000000,14.574451679999999,16.893114449999999,20.205489830000001,17.224351989999999,323.1255493
55,4/11/2021 0:00:00,4,Apr,agb4,40.621141999999999,-105.816672999999994,B_T,,,,,,0.000000000000000,,,,,,,0.000000000000000,323.1255493
56,5/8/2021 0:00:00,5,May,agb4,40.621141999999999,-105.816672999999994,B_T,,,,,,0.000000000000000,,,,,,,0.000000000000000,323.1255493
57,2/7/2021 21:51:00,2,Feb,agb6,40.620773999999997,-105.816505000000006,B_T,34,44,42,33,45,39.600000000000001,,,,,,,,257.7036743
