ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Transect Name,Point ID,Burn status,Other - Burn status,Date and Time,Depth 1 (cm),Depth 2 (cm),Depth 3 (cm),Depth 4 (cm),Depth 5 (cm),Snow core diameter (cm),Snow core 1 depth (cm),Snow core 1 weight (g),Snow core 2 depth (cm),Snow core 2 weight (g),Snow core 3 depth (cm),Snow core 3 weight (g),Notes,x,y
1,5d9d8127-cd1b-48f5-a1d4-5d41b8ce4279,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw32,Unburned,,1/19/23 16:34,139,140,145,136,135,,,,,,,,,-105.8758101,40.55738739
2,c6d6fab0-6b24-4fa1-b59e-5e88dda369c0,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw31,Unburned,,1/19/23 16:42,123,122,118,113,115,,,,,,,,,-105.8757438,40.55809321
3,b0874eac-d98f-4ec3-83b3-6d35942352f8,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw35,Unburned,,1/19/23 16:45,164,157,160,157,148,,,,,,,,,-105.8757019,40.55831671
4,c54769f5-4383-47cf-8e0d-3b7d378ba05c,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw30,Unburned,,1/19/23 16:49,141,135,136,131,132,,,,,,,,,-105.8757179,40.55864698
5,faf7ed89-8802-4139-912d-bee9bbc7d276,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw29,Partially_burned_some_needles,,1/19/23 16:56,150,116,150,151,154,6.25,150,1198,151,1176,154,944,,-105.876076,40.55920228
6,b2cfe1f7-2566-4b62-89a8-49202d1a9dfc,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw34,Unburned,,1/19/23 17:13,108,118,114,119,101,,,,,,,,,-105.875923,40.55968145
7,d9bb89aa-f147-4c27-bca5-d321a535da13,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw28,Unburned,,1/19/23 17:18,99,125,101,127,123,,,,,,,,,-105.8760681,40.55996195
8,116c9f30-a004-4b02-995c-c34a782e0984,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw23,All_burned_no_needles,,1/19/23 17:32,146,147,145,142,133,,,,,,,,,-105.8787212,40.56162174
9,c3911bb2-4aac-420f-a672-6bc923e6ea4f,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw22,All_burned_no_needles,,1/19/23 17:40,165,158,150,148,135,,,,,,,,,-105.8793905,40.56172559
10,f2152547-2fb1-4ffa-8d1d-861878b4d979,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw21,All_burned_no_needles,,1/19/23 17:45,135,130,130,135,132,,,,,,,,,-105.8801148,40.56176811
11,278960b8-ee14-479f-9cd5-3d002484e4de,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw20,Unburned,,1/19/23 17:51,151,160,130,156,132,,,,,,,,On edge of burned,-105.8807625,40.56177908
12,a1d66df3-4bc7-4828-b4e7-af0972822176,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw7,All_burned_no_needles,,1/19/23 18:42,125,115,127,131,129,,,,,,,,,-105.8790835,40.55754006
13,721df202-94ba-4d43-8dff-4ea19f867cc3,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw5,All_burned_no_needles,,1/19/23 19:05,107,114,117,118,120,,,,,,,,,-105.8782954,40.55693555
14,3b8e9ae2-4646-4c0d-8dba-c6c1db221cf2,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw4,Partially_burned_some_needles,,1/19/23 19:10,143,144,143,136,147,,,,,,,,,-105.8775834,40.55677454
15,947a9859-6f64-444e-8df8-e7b3b9c24b68,1/20/23 0:25,,1/20/23 0:25,,Persistent,Jw3,Partially_burned_some_needles,,1/19/23 19:13,139,135,138,137,133,,,,,,,,,-105.8772634,40.55639761
16,b218ebdf-f403-48b0-8da3-9afa6d900e9d,1/20/23 0:26,,1/20/23 0:26,,Persistent,Jw1,Unburned,,1/19/23 19:30,124,128,132,126,128,,,,,,,,,-105.8765991,40.55588101
17,812e2665-a6d6-4be9-bb3a-fc9b89d40e58,1/20/23 0:26,,1/20/23 0:26,,Transitional_burn,Ab1,Partially_burned_some_needles,,1/19/23 20:23,79,76,76,77,79,,,,,,,,,-105.8350714,40.60506747
18,1368e420-a50c-4cfa-a3a3-37901fe6e42f,1/20/23 0:26,,1/20/23 0:26,,Transitional_burn,Ab2,All_burned_no_needles,,1/19/23 20:26,68,61,66,64,66,,,,,,,,,-105.8348832,40.60525097
19,5499b9ec-51a0-4b5b-9d0f-48c5a7020f1b,1/20/23 0:26,,1/20/23 0:26,,Transitional_burn,Ab3,All_burned_no_needles,,1/19/23 20:29,36,34,40,41,17,,,,,,,,,-105.8345698,40.60562234
20,6922c716-1460-496b-af78-ef1cb9ebed51,1/20/23 0:26,,1/20/23 0:26,,Transitional_burn,Ab5,All_burned_no_needles,,1/19/23 20:46,59,54,58,54,56,,,,,,,,,-105.8336994,40.60593286
21,2a29862a-f112-497d-9b65-c90c4b04c374,1/20/23 0:26,,1/20/23 0:26,,Transitional_burn,Ab6,All_burned_no_needles,,1/19/23 20:49,91,85,85,85,86,,,,,,,,,-105.833343,40.60585909
22,c385c6a2-be2e-4bd2-9fe0-a55e29e8335a,1/20/23 1:38,searsmg_CSUesri,1/20/23 1:38,searsmg_CSUesri,Persistent,Jw33,All_burned_no_needles,,1/19/23 18:22,137,151,,,,6.25,149,1669,145,1268,135,1121,,-105.8799954,40.55866309
23,f44c4390-f648-4a85-9fbf-ae691fa98968,1/20/23 1:38,searsmg_CSUesri,1/20/23 1:38,searsmg_CSUesri,Persistent,Jw6,All_burned_no_needles,,1/19/23 18:53,113,111,,,,6.25,108,1190,100,1112,111,777,,-105.8786206,40.55721368
24,afa77368-4092-4fdc-a8fc-6692f5b40201,1/20/23 1:38,searsmg_CSUesri,1/20/23 1:38,searsmg_CSUesri,Persistent,Jw2,Unburned,,1/19/23 19:21,109,114,,,,6.25,100,694,98,705,106,724,,-105.8768581,40.55617922
25,a70c0f9a-ddd4-4c84-8c26-d8bd35854976,1/20/23 1:38,searsmg_CSUesri,1/20/23 1:38,searsmg_CSUesri,Transitional_burn,Ab4,Partially_burned_some_needles,,1/19/23 20:36,94,86,,,,6.25,69,402,65,365,66,397,"
",-105.8341116,40.6059877
26,dfacadad-d52a-4165-ab3b-c4e53baf5a12,1/20/23 1:38,searsmg_CSUesri,1/20/23 1:38,searsmg_CSUesri,Transitional_burn,Ab7,All_burned_no_needles,,1/19/23 20:54,77,55,,,,6.25,82,701,94,688,95,700,,-105.8326016,40.60545549
