datetime,baro_mmHg,
11/12/22 14:00,510,
11/12/22 15:00,510,
11/12/22 16:00,510,
11/12/22 17:00,510,
11/12/22 18:00,510,
11/12/22 19:00,510,
11/12/22 20:00,510,
11/12/22 21:00,509,
11/12/22 22:00,509,
11/12/22 23:00,509,
11/13/22 0:00,509,
11/13/22 1:00,509,
11/13/22 2:00,509,
11/13/22 3:00,509,
11/13/22 4:00,508,
11/13/22 5:00,508,
11/13/22 6:00,508,
11/13/22 7:00,508,
11/13/22 8:00,508,
11/13/22 9:00,508,
11/13/22 10:00,508,
11/13/22 11:00,507,
11/13/22 12:00,507,
11/13/22 13:00,506,
11/13/22 14:00,506,
11/13/22 15:00,506,
11/13/22 16:00,506,
11/13/22 17:00,506,
11/13/22 18:00,506,
11/13/22 19:00,506,
11/13/22 20:00,506,
11/13/22 21:00,506,
11/13/22 22:00,506,
11/13/22 23:00,507,
11/14/22 0:00,507,
11/14/22 1:00,506,
11/14/22 2:00,506,
11/14/22 3:00,506,
11/14/22 4:00,506,
11/14/22 5:00,507,
11/14/22 6:00,507,
11/14/22 7:00,507,
11/14/22 8:00,507,
11/14/22 9:00,508,
11/14/22 10:00,508,
11/14/22 11:00,508,
11/14/22 12:00,508,
11/14/22 13:00,508,
11/14/22 14:00,508,
11/14/22 15:00,508,
11/14/22 16:00,508,
11/14/22 17:00,508,
11/14/22 18:00,508,
11/14/22 19:00,508,
11/14/22 20:00,509,
11/14/22 21:00,509,
11/14/22 22:00,509,
11/14/22 23:00,509,
11/15/22 0:00,509,
11/15/22 1:00,509,
11/15/22 2:00,509,
11/15/22 3:00,509,
11/15/22 4:00,509,
11/15/22 5:00,509,
11/15/22 6:00,510,
11/15/22 7:00,510,
11/15/22 8:00,510,
11/15/22 9:00,511,
11/15/22 10:00,511,
11/15/22 11:00,511,
11/15/22 12:00,511,
11/15/22 13:00,511,
11/15/22 14:00,511,
11/15/22 15:00,511,
11/15/22 16:00,512,
11/15/22 17:00,512,
11/15/22 18:00,512,
11/15/22 19:00,512,
11/15/22 20:00,512,
11/15/22 21:00,512,
11/15/22 22:00,513,
11/15/22 23:00,513,
11/16/22 0:00,513,
11/16/22 1:00,513,
11/16/22 2:00,513,
11/16/22 3:00,513,
11/16/22 4:00,513,
11/16/22 5:00,513,
11/16/22 6:00,514,
11/16/22 7:00,514,
11/16/22 8:00,514,
11/16/22 9:00,514,
11/16/22 10:00,515,
11/16/22 11:00,515,
11/16/22 12:00,514,
11/16/22 13:00,514,
11/16/22 14:00,514,
11/16/22 15:00,514,
11/16/22 16:00,514,
11/16/22 17:00,514,
11/16/22 18:00,513,
11/16/22 19:00,513,
11/16/22 20:00,513,
11/16/22 21:00,513,
11/16/22 22:00,512,
11/16/22 23:00,512,
11/17/22 0:00,512,
11/17/22 1:00,512,
11/17/22 2:00,511,
11/17/22 3:00,511,
11/17/22 4:00,511,
11/17/22 5:00,511,
11/17/22 6:00,511,
11/17/22 7:00,511,
11/17/22 8:00,511,
11/17/22 9:00,511,
11/17/22 10:00,511,
11/17/22 11:00,511,
11/17/22 12:00,511,
11/17/22 13:00,510,
11/17/22 14:00,510,
11/17/22 15:00,510,
11/17/22 16:00,510,
11/17/22 17:00,510,
11/17/22 18:00,510,
11/17/22 19:00,510,
11/17/22 20:00,509,
11/17/22 21:00,509,
11/17/22 22:00,509,
11/17/22 23:00,509,
11/18/22 0:00,508,
11/18/22 1:00,508,
11/18/22 2:00,508,
11/18/22 3:00,508,
11/18/22 4:00,508,
11/18/22 5:00,508,
11/18/22 6:00,508,
11/18/22 7:00,508,
11/18/22 8:00,508,
11/18/22 9:00,508,
11/18/22 10:00,508,
11/18/22 11:00,508,
11/18/22 12:00,509,
11/18/22 13:00,508,
11/18/22 14:00,508,
11/18/22 15:00,508,
11/18/22 16:00,508,
11/18/22 17:00,509,
11/18/22 18:00,509,
11/18/22 19:00,510,
11/18/22 20:00,510,
11/18/22 21:00,510,
11/18/22 22:00,510,
11/18/22 23:00,510,
11/19/22 0:00,511,
11/19/22 1:00,511,
11/19/22 2:00,511,
11/19/22 3:00,511,
11/19/22 4:00,511,
11/19/22 5:00,511,
11/19/22 6:00,511,
11/19/22 7:00,512,
11/19/22 8:00,512,
11/19/22 9:00,512,
11/19/22 10:00,513,
11/19/22 11:00,513,
11/19/22 12:00,513,
11/19/22 13:00,513,
11/19/22 14:00,513,
11/19/22 15:00,513,
11/19/22 16:00,513,
11/19/22 17:00,513,
11/19/22 18:00,513,
11/19/22 19:00,513,
11/19/22 20:00,513,
11/19/22 21:00,513,
11/19/22 22:00,513,
11/19/22 23:00,514,
11/20/22 0:00,513,
11/20/22 1:00,514,
11/20/22 2:00,513,
11/20/22 3:00,513,
11/20/22 4:00,513,
11/20/22 5:00,513,
11/20/22 6:00,514,
11/20/22 7:00,514,
11/20/22 8:00,514,
11/20/22 9:00,514,
11/20/22 10:00,514,
11/20/22 11:00,514,
11/20/22 12:00,514,
11/20/22 13:00,514,
11/20/22 14:00,513,
11/20/22 15:00,513,
11/20/22 16:00,513,
